"a1","a2","a3","a4","a5","a6","b1","b2","b3","b4","b5","b6","c1","c2","c3","c4","c5","c6","d1","d2","d3","d4","d5","d6","e1","e2","e3","e4","e5","e6","f1","f2","f3","f4","f5","f6","g1","g2","g3","g4","g5","g6","winner","CenterTokens","HorizontalWeightedScore","HeighestPiece","OpenRun","OpenFirstLevel","HorizontalCenterWeightedScoreTimesOpenRunBonusPointsYay"
"1","0","0","0","0","0","0","0","0","0","0","0","2","1","2","0","0","0","0","0","0","0","0","0","2","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","-4","Player1","-2","4","8"
"0","0","0","0","0","0","1","1","0","0","0","0","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","2","0","0","0","0","1","0","2","Player2","2","3","4"
"1","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","1","1","0","0","0","1","0","2","Player1","1","2","2"
"0","0","0","0","0","0","2","1","0","0","0","0","1","2","1","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","Player1","0","3","0"
"1","2","0","0","0","0","0","0","0","0","0","0","1","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","1","0","0","Player1","1","4","0"
"2","1","2","0","0","0","2","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","1","0","6","Player2","3","3","18"
"0","0","0","0","0","0","2","2","1","2","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","1","0","4","Player2","3","4","12"
"1","1","2","1","0","0","0","0","0","0","0","0","2","2","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","-8","Player1","-4","4","32"
"0","0","0","0","0","0","1","0","0","0","0","0","1","1","2","1","2","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","-1","-4","Player2","-1","3","4"
"2","2","0","0","0","0","1","2","1","0","0","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","6","Player1","4","4","24"
"1","2","1","2","2","0","1","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","4","Player2","0","3","0"
"1","0","0","0","0","0","0","0","0","0","0","0","1","1","2","1","2","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","-8","Player2","-3","4","24"
